line.id phenotype sex
line_822 0.162 m
line_861 0.176 m
line_861 0.153 m
line_861 0.207 m
line_861 0.18 m
line_861 0.187 m
line_819 0.141 m
line_819 0.147 m
line_819 0.129 m
line_819 0.186 m
line_819 0.127 m
line_377 0.184 m
line_377 0.193 m
line_377 0.192 m
line_377 0.193 m
line_377 0.17 m
line_57 0.127 m
line_57 0.116 m
line_57 0.128 m
line_57 0.127 m
line_57 0.113 m
line_385 0.157 m
line_385 0.15 m
line_385 0.14 m
line_385 0.135 m
line_385 0.151 m
line_359 0.2 m
line_359 0.224 m
line_359 0.203 m
line_359 0.156 m
line_359 0.185 m
line_373 0.196 m
line_373 0.156 m
line_373 0.192 m
line_373 0.164 m
line_373 0.19 m
line_712 0.157 m
line_712 0.131 m
line_712 0.12 m
line_712 0.146 m
line_712 0.152 m
line_437 0.192 m
line_437 0.189 m
line_437 0.183 m
line_437 0.204 m
line_437 0.196 m
line_502 0.131 m
line_502 0.161 m
line_502 0.14 m
line_502 0.143 m
line_502 0.101 m
line_427 0.225 m
line_427 0.199 m
line_427 0.199 m
line_427 0.213 m
line_427 0.186 m
line_584 0.172 m
line_584 0.14 m
line_584 0.112 m
line_584 0.127 m
line_584 0.122 m
line_852 0.125 m
line_852 0.143 m
line_852 0.134 m
line_852 0.139 m
line_852 0.157 m
line_189 0.144 m
line_189 0.163 m
line_189 0.159 m
line_189 0.147 m
line_189 0.148 m
line_820 0.18 m
line_820 0.142 m
line_820 0.128 m
line_820 0.132 m
line_820 0.157 m
line_530 0.15 m
line_530 0.164 m
line_530 0.115 m
line_530 0.144 m
line_530 0.129 m
line_796 0.206 m
line_796 0.17 m
line_796 0.21 m
line_796 0.16 m
line_796 0.173 m
line_161 0.202 m
line_161 0.174 m
line_161 0.167 m
line_161 0.181 m
line_161 0.207 m
line_235 0.133 m
line_235 0.12 m
line_235 0.141 m
line_235 0.152 m
line_235 0.143 m
line_426 0.241 m
line_426 0.21 m
line_426 0.22 m
line_426 0.211 m
line_426 0.236 m
line_535 0.171 m
line_535 0.201 m
line_535 0.196 m
line_535 0.153 m
line_535 0.186 m
line_837 0.172 m
line_837 0.199 m
line_837 0.134 m
line_837 0.17 m
line_837 0.175 m
line_776 0.129 m
line_776 0.152 m
line_776 0.174 m
line_776 0.156 m
line_776 0.16 m
line_256 0.156 m
line_256 0.172 m
line_256 0.181 m
line_256 0.136 m
line_256 0.144 m
line_508 0.138 m
line_508 0.151 m
line_508 0.132 m
line_508 0.115 m
line_508 0.125 m
line_386 0.151 m
line_386 0.219 m
line_386 0.151 m
line_386 0.161 m
line_386 0.133 m
line_340 0.176 m
line_340 0.158 m
line_340 0.153 m
line_340 0.169 m
line_340 0.195 m
line_217 0.176 m
line_217 0.17 m
line_217 0.166 m
line_217 0.141 m
line_217 0.178 m
line_370 0.118 m
line_370 0.105 m
line_370 0.126 m
line_370 0.142 m
line_370 0.142 m
line_367 0.196 m
line_367 0.189 m
line_367 0.207 m
line_367 0.18 m
line_367 0.139 m
line_177 0.16 m
line_177 0.175 m
line_177 0.148 m
line_177 0.156 m
line_177 0.179 m
line_361 0.127 m
line_361 0.149 m
line_361 0.149 m
line_361 0.224 m
line_361 0.172 m
line_208 0.163 m
line_208 0.155 m
line_208 0.164 m
line_208 0.174 m
line_208 0.182 m
line_595 0.205 m
line_595 0.167 m
line_595 0.156 m
line_595 0.154 m
line_595 0.138 m
line_380 0.118 m
line_380 0.111 m
line_380 0.117 m
line_380 0.132 m
line_380 0.133 m
line_732 0.162 m
line_732 0.143 m
line_732 0.175 m
line_732 0.15 m
line_732 0.188 m
line_313 0.114 m
line_313 0.101 m
line_313 0.134 m
line_313 0.124 m
line_313 0.117 m
line_307 0.203 m
line_307 0.207 m
line_307 0.192 m
line_307 0.213 m
line_307 0.216 m
line_908 0.173 m
line_908 0.123 m
line_908 0.195 m
line_908 0.125 m
line_908 0.141 m
line_383 0.171 m
line_383 0.169 m
line_383 0.153 m
line_383 0.17 m
line_383 0.152 m
line_517 0.189 m
line_517 0.132 m
line_517 0.148 m
line_517 0.12 m
line_517 0.155 m
line_93 0.185 m
line_93 0.188 m
line_93 0.182 m
line_93 0.162 m
line_93 0.194 m
line_528 0.172 m
line_528 0.189 m
line_528 0.175 m
line_528 0.183 m
line_528 0.183 m
line_315 0.228 m
line_315 0.222 m
line_315 0.238 m
line_315 0.262 m
line_315 0.276 m
line_405 0.159 m
line_405 0.176 m
line_405 0.153 m
line_405 0.158 m
line_405 0.16 m
line_26 0.171 m
line_26 0.14 m
line_26 0.196 m
line_26 0.159 m
line_26 0.135 m
line_882 0.133 m
line_882 0.134 m
line_882 0.129 m
line_882 0.139 m
line_882 0.138 m
line_531 0.188 m
line_531 0.193 m
line_531 0.189 m
line_531 0.188 m
line_531 0.191 m
line_850 0.165 m
line_850 0.172 m
line_850 0.17 m
line_850 0.165 m
line_850 0.225 m
line_350 0.197 m
line_350 0.159 m
line_350 0.178 m
line_350 0.158 m
line_350 0.142 m
line_237 0.163 m
line_237 0.164 m
line_237 0.194 m
line_237 0.196 m
line_237 0.167 m
line_783 0.126 m
line_783 0.101 m
line_783 0.166 m
line_783 0.153 m
line_783 0.134 m
line_748 0.169 m
line_748 0.146 m
line_748 0.149 m
line_748 0.16 m
line_748 0.149 m
line_716 0.192 m
line_716 0.165 m
line_716 0.167 m
line_716 0.194 m
line_716 0.248 m
